ProdName,Brand,DisplayType,Dim,RespTime,HDMI,Category
LG 22 inch Full HD LED Backlit IPS Panel Monitor (22MP68VQ),LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
MarQ by Flipkart 23.8 inch Full HD LED Backlit IPS Panel Monitor (MA24MN),MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
Philips 27 inch Full HD LED Backlit IPS Panel Monitor (276E9QJAB/94),Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
Lenovo 23.8 inch Full HD Monitor (Q24i-10),Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
Lenovo 27 inch Full HD Monitor (D27-20),Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
HP 23.8 inch Full HD LED Backlit IPS Panel Monitor (24m),HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
HP 21.5 inch Full HD LED Backlit IPS Panel Monitor (22es),HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
Samsung 21.5 inch Full HD LED Backlit Monitor (sf350 ls22f350fhwxxl),Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
LG 18.5 inch HD LED Backlit Monitor (19M38HB -BB.BTRFMVL),LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
Dell 22 inch Full HD Monitor (E2218HN),Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
LG 22 inch Full HD LED Backlit IPS Panel Monitor (22MP68VQ),LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
MarQ by Flipkart 23.8 inch Full HD LED Backlit IPS Panel Monitor (MA24MN),MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
Philips 27 inch Full HD LED Backlit IPS Panel Monitor (276E9QJAB/94),Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
Lenovo 23.8 inch Full HD Monitor (Q24i-10),Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
